"X..language","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
1,-3.99585,0.944184,-0.402839,9.50263,-2.46297,10.7344,-9.78884,6.22816,-0.200593,0.707209,3.5131,-2.79377
0,7.82711,-5.47747,7.81626,9.18759,-7.17251,11.7153,-13.8472,4.57407,-1.68756,-7.20404,-0.0118469,-6.46314
0,10.983,-5.15745,3.95206,11.5294,-7.63805,12.1361,-12.0362,3.49194,0.595441,-4.50881,2.33215,-6.22186
1,5.00114,-4.33184,4.76126,4.15664,-11.0158,10.5587,-10.9694,4.2599,-0.798665,-5.8089,-1.387,-3.86296
0,10.1488,-3.63341,5.4704,11.2641,-6.62455,12.2518,-12.3466,6.73482,1.26449,-6.93024,2.98264,-5.51245
0,6.74408,-5.68892,6.54679,9.00018,-6.92496,11.7108,-12.3744,6.16988,-0.544747,-6.01924,1.35856,-6.35644
1,5.77712,1.74934,1.84407,11.298,-9.90639,7.94894,-8.28345,2.65976,0.152172,-3.89726,-0.914526,-2.92387
0,6.75467,-4.62157,10.1726,14.3119,-7.48551,10.1261,-12.3354,5.02238,-0.454547,-9.48713,1.3132,-3.97176
1,-1.8924,-3.48329,5.1448,7.24632,-7.19891,8.62276,-11.3789,3.74776,0.379406,-1.65943,0.596265,-2.1967
1,2.7181,-5.83799,3.82259,7.22197,-10.1331,9.32962,-12.2632,1.70466,0.170311,-3.80353,-0.682318,-2.36194
0,11.2635,-6.01798,-0.726262,11.9598,-5.66723,12.3185,-7.89212,4.13117,-0.672802,-9.21565,4.77087,-0.82253
1,4.83393,-6.22045,6.4313,4.86232,-11.9557,10.8957,-11.1775,1.99942,-1.93204,-2.90521,-1.60683,-5.64866
1,-4.83524,1.50705,-0.129089,2.55068,-7.16908,10.9997,-9.27824,5.90637,-2.40417,-1.05533,-0.311691,-3.12401
1,2.46237,-0.401984,-1.31542,7.09639,-9.70878,7.50163,-9.61004,2.7216,0.608331,-4.75126,0.583645,-1.78714
1,3.78705,-0.96143,-1.02548,7.71192,-10.5834,8.5739,-9.1181,1.02023,0.038866,-5.26079,0.407796,0.227588
0,9.60712,-5.85641,6.80458,13.3181,-8.35642,9.99929,-13.6496,3.19067,1.09363,-8.62871,0.90391,-3.57247
1,-1.27066,-0.781674,1.67364,7.57152,-8.54988,8.1744,-10.8935,5.11963,-0.324351,-3.81339,-0.611499,-0.56021
1,1.58748,0.00546117,-1.3737,2.16798,-11.628,11.4743,-7.99809,5.75985,-0.733238,-3.07586,3.09266,-1.52262
0,5.83684,-5.32656,7.47226,8.84744,-6.77324,12.6772,-12.3151,4.41634,0.1935,-3.64481,2.15124,-6.81631
0,6.26709,-4.22774,7.22774,10.0694,-6.95387,9.38477,-15.3415,6.71853,-0.450952,-7.17759,2.53871,-3.55054
1,-0.718744,0.827186,-1.63939,7.28152,-3.61413,11.5626,-10.3051,6.61168,-0.843089,-0.888524,4.41007,-4.40143
1,3.31159,0.134005,-0.152898,7.56021,-10.5778,6.8596,-10.0276,2.05001,-0.680483,-2.61135,0.422836,-2.91788
0,10.2247,-5.84695,1.57933,11.0732,-6.74006,13.6003,-8.34855,4.25603,-1.07625,-7.46205,4.02494,-0.636634
0,7.59876,-9.12325,8.85736,10.4406,-8.51308,12.1402,-14.7395,4.68215,1.21376,-5.51845,2.27633,-4.33102
1,3.23986,-2.4946,2.12034,7.51524,-4.82525,13.6378,-9.38253,5.28004,-0.700377,-2.04368,4.37618,-1.79716
0,7.07797,-7.26548,9.47414,9.0684,-8.41768,12.1046,-13.2729,3.46233,-1.22525,-5.04044,2.29165,-5.84724
0,7.88681,-2.593,0.261655,12.9321,-4.10891,11.8141,-8.90404,6.17652,1.55973,-7.81231,4.31789,-1.10853
0,10.4214,-4.26105,7.47247,9.17296,-7.41908,11.3888,-14.509,6.55709,0.0141103,-8.55991,2.59641,-4.76351
1,2.69346,-5.05271,3.02103,6.26216,-9.99875,8.51822,-11.358,1.47044,1.31013,-3.64237,-0.839416,0.463408
0,7.07148,-6.5129,7.6508,11.1508,-7.65731,12.484,-11.7098,3.4266,1.46272,-2.81275,0.866538,-5.24427
1,0.987514,-3.17035,3.47472,4.75823,-8.81567,10.6517,-10.9769,4.214,-2.45769,-3.66385,-1.04526,-5.36323
0,6.74562,-7.22586,6.20444,9.43396,-7.91008,10.2043,-8.56682,8.7097,-2.46378,-8.77012,5.4284,-1.64735
0,13.7446,-9.93853,3.06895,13.795,-6.00746,14.3174,-9.65824,0.302305,1.69965,-10.9903,5.38106,0.124498
1,10.8086,-8.28369,0.200663,11.3312,-4.2636,14.1561,-12.001,2.59288,-3.59976,-2.11224,7.45226,-8.73178
1,0.696453,-3.49919,1.60366,4.6895,-8.44812,10.8764,-10.6235,2.48564,-1.68923,-2.14253,1.75417,-4.4771
0,8.78729,-5.52467,8.75222,10.0013,-8.81065,11.8916,-13.2655,6.96858,0.903085,-5.96951,1.76051,-6.10171
1,0.156076,-1.20544,-0.371243,5.21692,-4.39939,10.5043,-9.74565,6.6608,-1.74908,-3.32772,5.75247,-3.10689
0,9.80358,-4.48561,9.09275,12.2369,-9.27652,9.9723,-14.0033,6.09933,-0.420892,-9.93511,2.55685,-5.8872
1,1.16759,-1.30432,0.639279,5.76537,-8.66779,8.87433,-11.643,3.69323,-0.878749,-3.16378,2.23084,-0.596542
0,12.4403,-4.70541,3.62772,11.8777,-9.4098,10.441,-8.15037,9.49296,-0.0812459,-9.7365,3.25267,-5.96658
